path	bytes	extension	area
./.env	0	env	root
./.github/workflows/ci.yml	1003	yml	root
./.github/workflows/deploy-staging.yml	1734	yml	root
./.github/workflows/integration.yml	1150	yml	root
./.github/workflows/tree-sync.yml	4305	yml	root
./.gitignore	132	gitignore	root
./Dockerfile	223	[none]	root
./GITHUB-REPOSITORIES.md	839	md	root
./LICENSE	35149	[none]	root
./README.md	14090	md	root
./api/[...all].ts	242	ts	root
./api/community/feed.ts	78	ts	root
./api/system/[stream].ts	84	ts	root
./api/system/[stream]/refresh.ts	87	ts	root
./docker-compose.yml	443	yml	root
./docs/DEVELOPER-ONBOARDING.md	4627	md	docs
./docs/MARKDOWN-RENDERER.md	8128	md	docs
./docs/PHASE-PLANS.md	8520	md	docs
./docs/REMAINING.md	15596	md	docs
./docs/phase1/CANDIDATE-CLASSIFICATION.txt	17736	txt	docs
./docs/phase1/FILE-AREA-INVENTORY.txt	4696	txt	docs
./docs/phase1/FILE-INVENTORY.tsv	26	tsv	docs
./docs/phase1/FILE-RESPONSIBILITY-MANIFEST.json	147828	json	docs
./docs/phase1/FILE-RESPONSIBILITY-MANIFEST.md	86113	md	docs
./docs/phase1/FILE-REVAMP-DESIGN.md	7756	md	docs
./docs/phase1/NEXT-CLEANUP-ROADMAP.md	6762	md	docs
./docs/phase1/PHASE-I-PLAN.md	13487	md	docs
./docs/phase1/PHASE-I-VERIFICATION.md	5263	md	docs
./docs/phase1/PUBLIC-ASSET-INVENTORY.txt	13370	txt	docs
./docs/phase1/REACHABILITY-INDEX.txt	13177	txt	docs
./docs/phase1/REAL-ARCHITECTURE.md	22527	md	docs
./docs/phase1/REMOVAL-CANDIDATE-REFERENCES.txt	1917	txt	docs
./docs/phase1/STREAM-CLEANUP-VERIFICATION.md	3751	md	docs
./docs/phase1/STREAM-TERMINOLOGY-AUDIT.md	3292	md	docs
./docs/phase1/architecture-real.mmd	4123	mmd	docs
./docs/phase1/architecture-real.png	590915	png	docs
./docs/phases/phase-1.md	523	md	docs
./docs/phases/phase-2.md	456	md	docs
./docs/phases/phase-3.md	426	md	docs
./docs/phases/phase-4.md	526	md	docs
./docs/phases/phase-5.md	382	md	docs
./docs/phases/phase-6.md	389	md	docs
./favicon.png	1398285	png	root
./files.json	5701	json	root
./fmtree.py	5445	py	root
./index.html	39242	html	root
./installer.html	59332	html	root
./logs/admin-actions.log	4970	log	root
./offline.html	1933	html	root
./package-lock.json	199589	json	root
./package.json	1804	json	root
./public/bin/tikzjax/core.dump.gz	1259233	gz	public-other
./public/bin/tikzjax/css/bakoma/ttf/cmr10.ttf	31172	ttf	public-other
./public/bin/tikzjax/css/fonts.css	9818	css	public-other
./public/bin/tikzjax/output/fonts.css	4791051	css	public-other
./public/bin/tikzjax/output/tex.wasm.gz	128615	gz	public-other
